Fri Jun 27 11:15:46 2003
FISH v1.0
FISH is copyright (c)2003, University of North Carolina at Chapel Hill 
Authors: Sugata Chakravarty and Todd J. Vision

Control File = control.txt

-parameters
	MIN_SCORE = 200
	TOP_HITS = 5

-subgrids
	contig1	contig2	  points	cells
       309          1          1        627       2752        319
       310          1          1        629       1206        204
       311          1          1        629       1773        421
       312          1          1        629       1846        208
       313          1          1        629       2239        204
       314          1          1        629       3830        220
       315          1          1        629       4229        201
       316          1          1        629       4252        390
       317          1          1        629       4924        203
       318          1          1        629       5484        389
       319          1          1        630        841        280
       320          1          1        630       1545        214
       321          1          1        630       3715        212
       322          1          1        630       4076        282
       323          1          1        630       5249        211
       324          1          1        634       1537        204
       325          1          1        634       2911        204
       326          1          1        643       1094        562
       327          1          1        643       2112        326
       328          1          1        643       4743        608
       329          1          1        646        943        262
       330          1          1        646       1128        256
       331          1          1        646       1309        263
       332          1          1        646       1394        374
       333          1          1        646       1497        252
       334          1          1        646       1575        259
       335          1          1        646       1738        387
       336          1          1        646       2137        272
       337          1          1        646       2636        382
       338          1          1        646       2760        208
       339          1          1        646       4846        366
       340          1          1        646       5558        217
       341          1          1        648       1088        653
       342          1          1        651       3349        535
       343          1          1        661        984        258
       344          1          1        665       1116        228
       345          1          1        665       3521        243
       346          1          1        680        749        433
       347          1          1        680       3967        431
       348          1          1        694       1459        222
       349          1          1        694       1507        237
       350          1          1        694       2817        213
       351          1          1        694       2923        243
       352          1          1        694       5195        315
       353          1          1        694       5437        259
       354          1          1        696        813        314
       355          1          1        696       4305        262
       356          1          1        696       4345        270
       357          1          1        697       4376        268
       358          1          1        707       1546        494
       359          1          1        707       4747        242
       360          1          1        707       5248        497
       361          1          1        708       1492        895
       362          1          1        708       3810       1461
       363          1          1        709       1806       1620
       364          1          1        709       2919        508
       365          1          1        716       1935        203
       366          1          1        716       3950        211
       367          1          1        716       5332        277
       368          1          1        721       3819        248
       369          1          1        723       1669        223
       370          1          1        723       3823        306
       371          1          1        723       5385        401
       372          1          1        727       3831        248
       373          1          1        727       3951        217
       374          1          1        729       3842        350
       375          1          1        729       5554        260
       376          1          1        730       3844        660
       377          1          1        734       3853        267
       378          1          1        737       1359        510
       379          1          1        737       3973        495
       380          1          1        738       1648        287
       381          1          1        738       4420        390
       382          1          1        739       3158        332
       383          1          1        739       3438        231
       384          1          1        739       3737        359
       385          1          1        744       3186        476
       386          1          1        744       4796        538
       387          1          1        745       1569        331
       388          1          1        745       4386        287
       389          1          1        745       5120        212
       390          1          1        745       5268        321
       391          1          1        746       3966        356
       392          1          1        747        769        221
       393          1          1        748       1124        291
       394          1          1        748       1709        224
       395          1          1        748       5418        292
       396          1          1        749       3967        769
       397          1          1        752       3975        554
       398          1          1        759       3985        228
       399          1          1        763       3987        654
       400          1          1        763       4147        576
       401          1          1        767       3993        660
       402          1          1        768       5514        406
       403          1          1        769       3120        205
       404          1          1        769       3995        742
       405          1          1        769       5329        310
       406          1          1        770       2083        283
       407          1          1        771        885        841
       408          1          1        771       4172        829
       409          1          1        772       2454        270
       410          1          1        772       3708        291
       411          1          1        772       3998        644
       412          1          1        772       4171        210
       413          1          1        772       5081        200
       414          1          1        772       5125        299
       415          1          1        776       3538        423
       416          1          1        776       4650        419
       417          1          1        779       1584        207
       418          1          1        779       1935        232
       419          1          1        779       2864        224
       420          1          1        779       4001        303
       421          1          1        779       4406        243
       422          1          1        779       4606        230
       423          1          1        779       5314        214
